Email,Territorio,País de envío,Estado o provincia de envío,Municipio,Colonia,Calle de envío,Estatus,Código postal de envío,Ruta,Nombre de la cuenta,Plantilla de clientes,Folio de tienda,Cédula profesional,Grupo de cadena,Especialidad,Categoría del médico,Propietario de la cuenta,lat,lng,google_maps_url,NOMBRE_BRICK
,,México,QUERETARO,QUERETARO,CENTRO SUR,BOULEVARD CENTRO SUR 105,Activa,76090,1010507,AHORRO CENTRO SUR,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.5633683,-100.3689576,"https://www.google.com/maps/search/?api=1&query=20.5633683,-100.3689576",QUERETARO 220103
,,México,QUERETARO,QUERETARO,ENSUENO,PROLONGACION IGNACIO ZARAGOZA 90,Activa,76178,1010507,AHORRO ENSUENO,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.5797982,-100.4152937,"https://www.google.com/maps/search/?api=1&query=20.5797982,-100.4152937",QUERETARO 220104
,,México,QUERETARO,QUERETARO,EL JACAL,BOULEVARD HACIENDA DEL JACAL 1210,Activa,76180,1010507,GUADALAJARA EL JACAL,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.5636103,-100.4217282,"https://www.google.com/maps/search/?api=1&query=20.5636103,-100.4217282",QUERETARO 220104
,,México,QUERETARO,CORREGIDORA,TEJEDA,PASEO DE TEJEDA 200,Activa,76904,1010507,DE DIOS,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.547791,-100.4241929,"https://www.google.com/maps/search/?api=1&query=20.547791,-100.4241929",CORREGIDORA 229005
,,México,QUERETARO,QUERETARO,ARBOLEDAS,BOULEVARD BERNARDO QUINTANA 532,Activa,76140,1010507,GUADALAJARA ARBOLEDAS,Farmacias Digrimex,,,,,C,Claudia Elisa Cerda Castillo,20.6137956,-100.3850109,"https://www.google.com/maps/search/?api=1&query=20.6137956,-100.3850109",
,,México,QUERETARO,QUERETARO,COLINAS DEL CIMATARIO,AVENIDA COLINAS DEL CIMATARIO 20,Activa,76090,1010507,GUADALAJARA COLINAS,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.5718156,-100.3723804,"https://www.google.com/maps/search/?api=1&query=20.5718156,-100.3723804",QUERETARO 220103
,,México,QUERETARO,QUERETARO,JURICA ACUEDUCTO,BOULEVARD UNIVERSITARIO 560,Activa,76230,1010507,DON PEPE HERRERA JURIQUILLA,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.7072731,-100.4462635,"https://www.google.com/maps/search/?api=1&query=20.7072731,-100.4462635",
,,México,QUERETARO,QUERETARO,ENSUENO,PROLONGACION IGNACIO ZARAGOZA 80,Activa,76178,1010507,SORIANA LA CAPILLA,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.5772131,-100.4175431,"https://www.google.com/maps/search/?api=1&query=20.5772131,-100.4175431",QUERETARO 220104
,,México,QUERETARO,CORREGIDORA,AMPLIACION EL PUEBLITO,AVENIDA PASEO CONSTITUYENTES 1566,Activa,76900,1010507,WALMART EL PUEBLITO,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.5389272,-100.4353125,"https://www.google.com/maps/search/?api=1&query=20.5389272,-100.4353125",CORREGIDORA 229005
,,México,QUERETARO,QUERETARO,LOMA DORADA,BOULEVARD BERNARDO QUINTANA 111,Activa,76060,1010507,SAN PABLO CARRETAS,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.595854,-100.3708629,"https://www.google.com/maps/search/?api=1&query=20.595854,-100.3708629",
